,Ti,Te,phi_h,Rie,Rea,Ci,Ce,Ai,alpha_int,v1,y1,Ta,phi_s,phi_int,P0_scale
2025-02-13 23:30:00+01:00,295.57489975121274,295.52322352943645,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.07365097342489313,295.64855072463763,267.65144444444445,0.0,41.27,0.07142857142857142
2025-02-13 23:45:00+01:00,295.47606102598786,295.50021398828375,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.13582786290098858,295.61188888888887,267.4903333333333,0.0,40.73777777777778,0.07142857142857142
2025-02-14 00:00:00+01:00,295.47613582181793,295.44860627356496,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.07086417818200938,295.54699999999997,267.5424444444444,0.0,40.69111111111111,0.07142857142857142
2025-02-14 00:15:00+01:00,295.40875860510926,295.41647938072003,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.05835250600184491,295.4671111111111,267.4505555555555,0.0,40.812222222222225,0.07142857142857142
2025-02-14 00:30:00+01:00,295.38741219512826,295.3710889107757,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.0625878048717495,295.45,267.34233333333333,0.0,41.352222222222224,0.07142857142857142
2025-02-14 00:45:00+01:00,295.3346077564044,295.33461813382206,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.06639224359556008,295.40099999999995,267.0472222222222,0.0,41.16222222222222,0.07142857142857142
2025-02-14 01:00:00+01:00,295.30280354666786,295.2916132350328,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.0494186755543359,295.3522222222222,266.84855555555555,0.0,41.05777777777778,0.07142857142857142
2025-02-14 01:15:00+01:00,295.25613883386524,295.2525368465694,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.05863894391253528,295.31477777777775,266.7471111111111,0.0,41.25555555555555,0.07142857142857142
2025-02-14 01:30:00+01:00,295.21933927529864,295.21053633072233,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.03266072470134366,295.25199999999995,266.68766666666664,0.0,41.24111111111111,0.07142857142857142
2025-02-14 01:45:00+01:00,295.1757145111131,295.17045062524414,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.06095215555356256,295.2366666666666,266.4872222222222,0.0,41.18888888888889,0.07142857142857142
2025-02-14 02:00:00+01:00,295.1365033047592,295.12878016652763,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.02616336190749301,295.16266666666667,266.26099999999997,0.0,41.035555555555554,0.07142857142857142
2025-02-14 02:15:00+01:00,295.0938188008787,295.08772135211564,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.010847865787913979,295.1046666666666,266.1668888888889,0.0,41.38666666666666,0.07142857142857142
2025-02-14 02:30:00+01:00,295.053232835216,295.0459917899219,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.0024550574382919527,295.05077777777774,266.25,0.0,41.13111111111111,0.07142857142857142
2025-02-14 02:45:00+01:00,295.0112831539234,295.0048747039638,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.01371684607661842,295.025,266.25,0.0,41.205555555555556,0.07142857142857142
2025-02-14 03:00:00+01:00,294.9704843360282,294.96351751866683,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.011039891583753965,294.95944444444444,266.21677777777774,0.0,41.14666666666667,0.07142857142857142
2025-02-14 03:15:00+01:00,294.928958966086,294.9223783841204,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.016707700580618923,294.9456666666666,266.01655555555556,0.0,41.111111111111114,0.07142857142857142
2025-02-14 03:30:00+01:00,294.8877280909802,294.8808359963271,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.006950313202446252,294.8807777777778,265.7831111111111,0.0,41.92111111111111,0.07142857142857142
2025-02-14 03:45:00+01:00,294.8459368621287,294.83915223846844,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.003396471204609449,294.84933333333333,265.68188888888886,0.0,42.98111111111111,0.07142857142857142
2025-02-14 04:00:00+01:00,294.80433443578147,294.79740001351007,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.010665564218519137,294.815,265.6803333333333,0.0,42.27777777777778,0.07142857142857142
