,Tout,solGlo,caf
2024-02-28 23:00:00+01:00,,,
2024-02-29 00:00:00+01:00,276.4137878417969,5.361756871824497e-11,0.9999694228172302
2024-02-29 01:00:00+01:00,277.47308349609375,5.352724513629781e-11,0.9609086513519287
2024-02-29 02:00:00+01:00,278.4593200683594,5.349652665298521e-11,0.9560094475746155
2024-02-29 03:00:00+01:00,278.6158447265625,5.349222453876479e-11,0.9968682527542114
2024-02-29 04:00:00+01:00,278.65545654296875,5.337494335400095e-11,0.9999324083328247
2024-02-29 05:00:00+01:00,278.7796630859375,5.332050079243089e-11,0.9999860525131226
2024-02-29 06:00:00+01:00,279.0634460449219,-2.13570452989309e-10,0.9993870258331299
2024-02-29 07:00:00+01:00,279.2291259765625,0.0,1.0
2024-02-29 08:00:00+01:00,279.3963317871094,7456.0,1.0
2024-02-29 09:00:00+01:00,279.35784912109375,77152.0,1.0
2024-02-29 10:00:00+01:00,279.7009582519531,141312.0,1.0
2024-02-29 11:00:00+01:00,280.28961181640625,175053.1875,0.9959933757781982
2024-02-29 12:00:00+01:00,280.61041259765625,206687.125,1.0
2024-02-29 13:00:00+01:00,281.1354064941406,259388.75,0.9954990148544312
2024-02-29 14:00:00+01:00,281.55517578125,438545.875,0.9437993764877319
2024-02-29 15:00:00+01:00,281.3800048828125,560000.375,0.931763768196106
2024-02-29 16:00:00+01:00,281.6540222167969,388817.5,0.8447229862213135
2024-02-29 17:00:00+01:00,282.0040588378906,177422.5,0.4154689311981201
2024-02-29 18:00:00+01:00,281.2912902832031,20599.125,0.48333579301834106
2024-02-29 19:00:00+01:00,280.69287109375,32.0,1.0
2024-02-29 20:00:00+01:00,280.13739013671875,0.0,1.0
2024-02-29 21:00:00+01:00,279.83001708984375,0.0,1.0
2024-02-29 22:00:00+01:00,280.20550537109375,5.050092288794161e-11,1.0
2024-02-29 23:00:00+01:00,280.66973876953125,5.048741980040461e-11,1.0
2024-03-01 00:00:00+01:00,280.7352294921875,5.051196960703663e-11,1.0
2024-03-01 01:00:00+01:00,280.49090576171875,5.04870520390277e-11,0.9999943375587463
2024-03-01 02:00:00+01:00,280.3538818359375,5.063630070800684e-11,1.0
2024-03-01 03:00:00+01:00,280.6610107421875,5.06110015008332e-11,1.0
2024-03-01 04:00:00+01:00,280.4329833984375,5.071301018011454e-11,1.0
2024-03-01 05:00:00+01:00,280.090576171875,5.0690007746823085e-11,0.9999472498893738
2024-03-01 06:00:00+01:00,280.15673828125,-2.027027573570095e-10,1.0
2024-03-01 07:00:00+01:00,279.8579406738281,0.0,1.0
2024-03-01 08:00:00+01:00,279.5683288574219,14368.0,0.9936081171035767
2024-03-01 09:00:00+01:00,280.5515441894531,127392.0,0.9663088321685791
2024-03-01 10:00:00+01:00,280.997802734375,268096.0,0.8774247169494629
2024-03-01 11:00:00+01:00,281.3807067871094,348020.25,0.9907828569412231
2024-03-01 12:00:00+01:00,281.7579345703125,402983.625,0.9865702986717224
2024-03-01 13:00:00+01:00,281.7437744140625,514983.25,0.9659668207168579
2024-03-01 14:00:00+01:00,282.5508728027344,493074.375,0.7734168767929077
2024-03-01 15:00:00+01:00,282.5088195800781,422117.875,0.8356015086174011
2024-03-01 16:00:00+01:00,282.05047607421875,367301.625,0.8757535219192505
2024-03-01 17:00:00+01:00,281.17144775390625,250341.6875,0.7569112181663513
2024-03-01 18:00:00+01:00,280.27691650390625,32099.875,0.4910767674446106
2024-03-01 19:00:00+01:00,279.72412109375,0.0,0.44754019379615784
2024-03-01 20:00:00+01:00,279.8023986816406,0.0,0.945982813835144
2024-03-01 21:00:00+01:00,279.8568420410156,0.0,0.9847790002822876
2024-03-01 22:00:00+01:00,279.48699951171875,5.0719095590068264e-11,0.48466864228248596
2024-03-01 23:00:00+01:00,279.22265625,5.068509500993912e-11,0.9739107489585876
2024-03-02 00:00:00+01:00,279.46826171875,5.074787812198167e-11,0.9040125608444214
2024-03-02 01:00:00+01:00,279.5234680175781,5.066012886967286e-11,0.758051335811615
2024-03-02 02:00:00+01:00,278.37744140625,5.0729115352865506e-11,0.18031933903694153
2024-03-02 03:00:00+01:00,277.8377990722656,5.067544994741269e-11,0.0
2024-03-02 04:00:00+01:00,277.4327087402344,5.071539022072358e-11,0.056707389652729034
2024-03-02 05:00:00+01:00,276.66217041015625,5.0650261762541504e-11,0.008947217836976051
2024-03-02 06:00:00+01:00,277.13018798828125,-2.0269171063791447e-10,0.21325847506523132
2024-03-02 07:00:00+01:00,277.6383361816406,0.0,0.809038519859314
2024-03-02 08:00:00+01:00,277.4287414550781,31936.0,0.9287422895431519
2024-03-02 09:00:00+01:00,277.6636657714844,235904.0,0.9840782284736633
2024-03-02 10:00:00+01:00,278.4963684082031,468477.1875,0.9946311712265015
2024-03-02 11:00:00+01:00,280.3298034667969,638223.9375,0.9787841439247131
2024-03-02 12:00:00+01:00,281.8984375,649235.5,0.7279544472694397
2024-03-02 13:00:00+01:00,282.7916564941406,918599.375,0.9058431386947632
2024-03-02 14:00:00+01:00,283.2524108886719,704662.25,0.9939432144165039
2024-03-02 15:00:00+01:00,282.959228515625,499148.5,0.9979311227798462
2024-03-02 16:00:00+01:00,282.16314697265625,291172.75,0.9959720373153687
2024-03-02 17:00:00+01:00,281.5372619628906,121965.375,0.9953680038452148
2024-03-02 18:00:00+01:00,281.16790771484375,16402.875,1.0
2024-03-02 19:00:00+01:00,281.1244812011719,0.0,0.9993208646774292
2024-03-02 20:00:00+01:00,280.26611328125,0.0,0.9743552207946777
