,Ti,Te,phi_h,Rie,Rea,Ci,Ce,Ai,v1,y1,Ta,phi_s,P0_scale
2025-02-13 22:30:00+01:00,295.7383808067539,295.644101676084,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.10473030435720015,295.8431111111111,268.5734444444444,0.0,0.07142857142857142
2025-02-13 22:45:00+01:00,295.59027086780713,295.64489075133076,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.18406246552615105,295.7743333333333,268.14,0.0,0.07142857142857142
2025-02-13 23:00:00+01:00,295.62825547753965,295.58380669418545,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.12174452246036783,295.75,267.9783333333333,0.0,0.07142857142857142
2025-02-13 23:15:00+01:00,295.54199240898566,295.56334261853294,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.15789647990321865,295.6998888888889,267.8546666666666,0.0,0.07142857142857142
2025-02-13 23:30:00+01:00,295.5380633714998,295.5156610875982,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.11049218405570999,295.6485555555555,267.65144444444445,0.0,0.07142857142857142
2025-02-13 23:45:00+01:00,295.479138789262,295.4857628979276,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.13275009962687484,295.61188888888887,267.4903333333333,0.0,0.07142857142857142
2025-02-14 00:00:00+01:00,295.4564399425648,295.4437377868936,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.09056005743514078,295.54699999999997,267.5424444444444,0.0,0.07142857142857142
2025-02-14 00:15:00+01:00,295.40962888596215,295.409796492791,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.057482225148915794,295.4671111111111,267.4505555555555,0.0,0.07142857142857142
2025-02-14 00:30:00+01:00,295.3788799010321,295.3704786699003,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.07112009896785153,295.45,267.34233333333333,0.0,0.07142857142857142
2025-02-14 00:45:00+01:00,295.33731758259336,295.33458971414353,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.063682417406574,295.40099999999995,267.0472222222222,0.0,0.07142857142857142
2025-02-14 01:00:00+01:00,295.3025771403119,295.2960025959977,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.04964508191036536,295.3522222222222,266.84855555555555,0.0,0.07142857142857142
2025-02-14 01:15:00+01:00,295.2628394318559,295.2587734505415,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.05193834592183825,295.31477777777775,266.7471111111111,0.0,0.07142857142857142
2025-02-14 01:30:00+01:00,295.2261739305087,295.2204220279578,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.02582606949122855,295.25199999999995,266.68766666666664,0.0,0.07142857142857142
2025-02-14 01:45:00+01:00,295.18737255819633,295.18273465689253,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.049294108470319856,295.2366666666666,266.4872222222222,0.0,0.07142857142857142
2025-02-14 02:00:00+01:00,295.14978684679335,295.14436046052424,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.01287981987330816,295.16266666666667,266.26099999999997,0.0,0.07142857142857142
2025-02-14 02:15:00+01:00,295.1110051354135,295.10604698241593,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.006338468746890013,295.1046666666666,266.1668888888889,0.0,0.07142857142857142
2025-02-14 02:30:00+01:00,295.0727483515627,295.06746252460283,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.0219705737849775,295.05077777777774,266.25,0.0,0.07142857142857142
2025-02-14 02:45:00+01:00,295.03421573378716,295.02918372102056,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.00921573378719389,295.025,266.25,0.0,0.07142857142857142
2025-02-14 03:00:00+01:00,294.99604353931466,294.99085422253506,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.036599094870188795,294.95944444444444,266.21677777777774,0.0,0.07142857142857142
2025-02-14 03:15:00+01:00,294.957679892969,294.9525966153296,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.012013226302368358,294.9456666666666,266.01655555555556,0.0,0.07142857142857142
2025-02-14 03:30:00+01:00,294.91926977528084,294.9140680149175,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.038491997503067886,294.8807777777778,265.7831111111111,0.0,0.07142857142857142
2025-02-14 03:45:00+01:00,294.8804953663736,294.87531454284624,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.03116203304029819,294.84933333333333,265.68188888888886,0.0,0.07142857142857142
2025-02-14 04:00:00+01:00,294.8416780209582,294.83646476353005,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.02667802095820147,294.815,265.6803333333333,0.0,0.07142857142857142
2025-02-14 04:15:00+01:00,294.80286133033604,294.79768068214184,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.049750219224942265,294.7531111111111,265.78388888888884,0.0,0.07142857142857142
2025-02-14 04:30:00+01:00,294.7642431114859,294.7590829986416,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.0222431114859146,294.74199999999996,265.94822222222217,0.0,0.07142857142857142
2025-02-14 04:45:00+01:00,294.7258753276925,294.72076173823774,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.05098643880362839,294.67488888888886,266.21955555555553,0.3844444444444444,0.07142857142857142
2025-02-14 05:00:00+01:00,294.68838047089577,294.6831158767858,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.04971380422910797,294.63866666666667,266.49699999999996,0.6888888888888889,0.07142857142857142
2025-02-14 05:15:00+01:00,294.6514188823826,294.64618024347567,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.07941888238259324,294.572,266.63366666666667,0.19555555555555557,0.07142857142857142
