,T_amb,T_sky,I_ver,I_hor,T_219_TR3,T_220_TR3,P_rad_219,P_rad_220
2025-01-30 01:00:00+01:00,-0.19285714285714287,-7.392857142857143,-0.35714285714285715,0.14285714285714285,21.696428571428573,22.39642857142857,0.0,0.0
2025-01-30 01:15:00+01:00,-0.1,-7.3,-0.24444444444444444,0.03333333333333333,21.686666666666667,22.343333333333337,0.0,0.0
2025-01-30 01:30:00+01:00,-0.12000000000000001,-7.319999999999999,-0.3888888888888889,0.0,21.62,22.3,0.0,0.0
2025-01-30 01:45:00+01:00,-0.24222222222222223,-7.442222222222223,-0.4222222222222222,0.0,21.6,22.28666666666667,0.0,0.0
2025-01-30 02:00:00+01:00,-0.3,-7.5,-0.5222222222222223,0.0,21.6,22.236666666666668,0.0,0.0
2025-01-30 02:15:00+01:00,-0.22000000000000003,-7.420000000000001,-0.13333333333333333,0.13333333333333333,21.583333333333332,22.2,0.0,0.0
2025-01-30 02:30:00+01:00,-0.2,-7.4,0.0,0.0,21.523333333333333,22.186666666666667,0.0,0.0
2025-01-30 02:45:00+01:00,-0.2,-7.4,-0.1,0.0,21.5,22.153333333333332,0.0,0.0
2025-01-30 03:00:00+01:00,-0.26666666666666666,-7.466666666666667,-0.4222222222222222,0.0,21.483333333333334,22.113333333333333,0.0,0.0
2025-01-30 03:15:00+01:00,-0.3,-7.5,-0.22222222222222224,0.0,21.426666666666666,22.09666666666667,0.0,0.0
2025-01-30 03:30:00+01:00,-0.3488888888888889,-7.5488888888888885,-0.3333333333333333,0.0,21.4,22.080000000000002,0.0,0.0
2025-01-30 03:45:00+01:00,-0.3,-7.5,-0.13333333333333333,0.06666666666666667,21.4,22.023333333333333,0.0,0.0
2025-01-30 04:00:00+01:00,-0.3,-7.5,-0.1,0.0,21.38,21.996666666666666,0.0,0.0
2025-01-30 04:15:00+01:00,-0.20888888888888887,-7.40888888888889,-0.011111111111111112,0.1,21.333333333333332,21.936666666666667,0.0,0.0
2025-01-30 04:30:00+01:00,-0.20666666666666667,-7.406666666666667,0.0,0.0,21.3,21.9,0.0,0.0
2025-01-30 04:45:00+01:00,-0.2966666666666667,-7.496666666666667,-0.13333333333333333,0.03333333333333333,21.296666666666667,21.896666666666665,0.0,0.0
2025-01-30 05:00:00+01:00,-0.2,-7.4,0.044444444444444446,0.03333333333333333,21.3,21.883333333333333,0.0,0.0
2025-01-30 05:15:00+01:00,-0.2,-7.4,0.011111111111111112,0.0,21.256666666666668,21.826666666666668,0.006666666666666667,0.0
2025-01-30 05:30:00+01:00,-0.17333333333333334,-7.373333333333334,0.06666666666666667,0.06666666666666667,21.226666666666667,21.8,0.5933333333333334,0.0
2025-01-30 05:45:00+01:00,-0.14666666666666667,-7.346666666666667,0.03333333333333333,0.0,21.223333333333336,21.8,1.38,0.0
2025-01-30 06:00:00+01:00,-0.15333333333333335,-7.3533333333333335,0.03333333333333333,0.0,21.273333333333333,21.759999999999998,1.4,0.0
2025-01-30 06:15:00+01:00,-0.1,-7.3,0.03333333333333333,0.0,21.32,21.71333333333333,1.38,0.0
2025-01-30 06:30:00+01:00,-0.16666666666666666,-7.366666666666666,0.0,0.0,21.38,21.703333333333333,1.3,0.0
2025-01-30 06:45:00+01:00,-0.2,-7.4,-0.02222222222222222,0.0,21.419999999999998,21.696666666666665,1.3,0.0
2025-01-30 07:00:00+01:00,-0.24666666666666667,-7.446666666666667,-0.06666666666666667,0.0,21.553333333333335,21.686666666666667,1.2333333333333334,0.0
2025-01-30 07:15:00+01:00,-0.3,-7.5,-0.06666666666666667,0.0,21.646666666666665,21.64333333333333,1.1400000000000001,0.0
2025-01-30 07:30:00+01:00,-0.3,-7.5,0.0,0.0,21.726666666666667,21.603333333333335,1.1733333333333333,0.0
2025-01-30 07:45:00+01:00,-0.3,-7.5,0.1,0.0,21.796666666666667,21.610000000000003,0.5533333333333333,0.0
2025-01-30 08:00:00+01:00,-0.3,-7.5,0.0,0.0,21.8,21.7,0.16,0.0
2025-01-30 08:15:00+01:00,-0.3,-7.5,0.07777777777777777,0.03333333333333333,21.8,21.696666666666665,0.0,0.35333333333333333
2025-01-30 08:30:00+01:00,-0.30333333333333334,-7.503333333333333,0.4,0.8777777777777778,21.8,21.636666666666667,0.0,0.0
2025-01-30 08:45:00+01:00,-0.30333333333333334,-7.503333333333333,1.3111111111111111,2.533333333333333,21.8,21.65666666666667,0.0,0.7533333333333334
2025-01-30 09:00:00+01:00,-0.35333333333333333,-7.553333333333334,2.3,5.077777777777778,21.796666666666667,21.7,0.0,0.92
2025-01-30 09:15:00+01:00,-0.36333333333333334,-7.5633333333333335,4.666666666666667,6.9,21.8,21.763333333333332,0.0,0.9333333333333333
2025-01-30 09:30:00+01:00,-0.39666666666666667,-7.596666666666667,9.8,11.933333333333334,21.846666666666668,21.86,0.0,1.22
2025-01-30 09:45:00+01:00,-0.38,-7.58,14.144444444444444,18.566666666666666,21.896666666666665,22.046666666666667,0.0,0.8200000000000001
2025-01-30 10:00:00+01:00,-0.30666666666666664,-7.506666666666666,14.577777777777778,15.566666666666666,21.946666666666665,22.153333333333332,0.0,1.2133333333333334
2025-01-30 10:15:00+01:00,-0.4222222222222223,-7.622222222222223,17.566666666666666,17.2,22.006666666666668,22.296666666666667,0.0,0.7666666666666667
2025-01-30 10:30:00+01:00,-0.5,-7.7,24.333333333333332,20.1,22.110000000000003,22.456666666666663,0.0,0.94
2025-01-30 10:45:00+01:00,-0.5,-7.7,45.93333333333333,25.633333333333333,22.21333333333333,22.613333333333333,0.0,0.7200000000000001
