,T_amb,T_sky,I_ver,I_hor,T_219_TR3,T_220_TR3,P_rad_219,P_rad_220
2025-02-14 01:00:00+01:00,-6.295238095238095,-13.495238095238095,-0.5595238095238095,0.0,22.17142857142857,22.178571428571427,0.0,0.0
2025-02-14 01:15:00+01:00,-6.4,-13.600000000000001,-0.1111111111111111,0.0,22.10666666666667,22.113333333333333,0.0,0.0
2025-02-14 01:30:00+01:00,-6.453333333333333,-13.653333333333334,-0.2,0.0,22.083333333333332,22.09,0.0,0.0
2025-02-14 01:45:00+01:00,-6.6466666666666665,-13.846666666666668,-0.17777777777777776,0.0,22.016666666666666,22.016666666666666,0.0,0.0
2025-02-14 02:00:00+01:00,-6.873333333333333,-14.073333333333332,-0.8666666666666667,0.0,21.959999999999997,21.956666666666663,0.0,0.0
2025-02-14 02:15:00+01:00,-6.989999999999999,-14.19,0.1,0.0,21.9,21.9,0.0,0.0
2025-02-14 02:30:00+01:00,-6.9,-14.100000000000001,0.36666666666666664,0.0,21.883333333333333,21.873333333333335,0.0,0.0
2025-02-14 02:45:00+01:00,-6.9,-14.100000000000001,-0.06666666666666667,0.0,21.813333333333333,21.80666666666667,0.0,0.0
2025-02-14 03:00:00+01:00,-6.926666666666667,-14.126666666666667,0.03333333333333333,0.0,21.793333333333337,21.783333333333335,0.0,0.0
2025-02-14 03:15:00+01:00,-7.12,-14.32,-0.13333333333333333,0.0,21.73,21.706666666666663,0.0,0.0
2025-02-14 03:30:00+01:00,-7.3533333333333335,-14.553333333333335,-0.5666666666666667,0.0,21.7,21.69333333333333,0.0,0.0
2025-02-14 03:45:00+01:00,-7.46,-14.66,-0.16666666666666666,0.0,21.676666666666666,21.63,0.0,0.0
2025-02-14 04:00:00+01:00,-7.48,-14.68,0.2,0.0,21.603333333333335,21.59666666666667,0.0,0.0
2025-02-14 04:15:00+01:00,-7.373333333333334,-14.573333333333334,0.28888888888888886,0.0,21.586666666666666,21.55666666666667,0.0,0.0
2025-02-14 04:30:00+01:00,-7.216666666666667,-14.416666666666666,0.7777777777777778,0.0,21.529999999999998,21.496666666666666,0.0,0.0
2025-02-14 04:45:00+01:00,-6.948888888888889,-14.148888888888889,0.9,0.3333333333333333,21.473333333333336,21.433333333333334,0.0,0.0
2025-02-14 05:00:00+01:00,-6.666666666666667,-13.866666666666667,1.0333333333333334,0.6222222222222222,21.43,21.4,0.0,0.0
2025-02-14 05:15:00+01:00,-6.526666666666666,-13.726666666666667,0.8666666666666667,0.15555555555555553,21.4,21.35666666666667,0.0,0.0
2025-02-14 05:30:00+01:00,-6.3533333333333335,-13.553333333333335,0.6,0.06666666666666667,21.383333333333333,21.310000000000002,0.013333333333333332,0.0
2025-02-14 05:45:00+01:00,-6.2,-13.4,0.5888888888888889,0.03333333333333333,21.310000000000002,21.290000000000003,0.4,0.0
2025-02-14 06:00:00+01:00,-6.13,-13.330000000000002,0.7444444444444444,0.23333333333333334,21.363333333333333,21.23,0.7133333333333333,0.0
2025-02-14 06:15:00+01:00,-6.0,-13.2,0.6555555555555556,0.1,21.4,21.203333333333333,1.5466666666666666,0.0
2025-02-14 06:30:00+01:00,-6.0,-13.2,0.4666666666666667,0.0,21.423333333333332,21.166666666666668,1.7133333333333334,0.0
2025-02-14 06:45:00+01:00,-5.92,-13.120000000000001,0.5555555555555556,0.2222222222222222,21.493333333333332,21.116666666666667,1.9,0.0
2025-02-14 07:00:00+01:00,-5.736666666666666,-12.936666666666667,0.8666666666666667,0.41111111111111115,21.583333333333332,21.086666666666666,1.4733333333333334,0.0
2025-02-14 07:15:00+01:00,-5.6,-12.8,0.9,0.1,21.686666666666667,21.05,1.3866666666666667,0.0
2025-02-14 07:30:00+01:00,-5.573333333333333,-12.773333333333333,0.6444444444444444,0.7,21.75,21.003333333333334,1.46,0.0
2025-02-14 07:45:00+01:00,-5.426666666666667,-12.626666666666667,0.9333333333333333,1.1333333333333333,21.833333333333332,20.996666666666666,1.2266666666666666,0.0
2025-02-14 08:00:00+01:00,-5.2733333333333325,-12.473333333333333,1.5666666666666667,2.488888888888889,21.9,20.94333333333333,0.46,0.0
2025-02-14 08:15:00+01:00,-5.0233333333333325,-12.223333333333333,2.0555555555555554,3.3777777777777778,21.9,20.986666666666668,0.1,0.0
2025-02-14 08:30:00+01:00,-4.85,-12.05,3.0,5.311111111111112,21.9,20.996666666666666,0.0,2.246666666666667
2025-02-14 08:45:00+01:00,-4.753333333333333,-11.953333333333335,4.833333333333333,9.4,21.9,21.063333333333333,0.0,1.34
2025-02-14 09:00:00+01:00,-4.61,-11.81,6.566666666666666,11.988888888888889,21.936666666666667,21.18,0.0,1.4333333333333333
2025-02-14 09:15:00+01:00,-4.5,-11.7,8.088888888888889,15.71111111111111,21.94333333333333,21.35,0.0,1.5333333333333334
2025-02-14 09:30:00+01:00,-4.423333333333334,-11.623333333333335,10.066666666666666,19.633333333333333,21.973333333333336,21.566666666666666,0.0,1.32
2025-02-14 09:45:00+01:00,-4.35,-11.55,10.68888888888889,20.855555555555554,21.986666666666668,21.73,0.0,1.2066666666666668
2025-02-14 10:00:00+01:00,-4.31,-11.51,10.933333333333334,21.933333333333334,22.006666666666668,21.866666666666667,0.0,1.3
2025-02-14 10:15:00+01:00,-4.236666666666666,-11.436666666666667,19.455555555555556,37.03333333333333,22.0,22.02,0.0,1.3
2025-02-14 10:30:00+01:00,-4.0633333333333335,-11.263333333333332,33.388888888888886,56.166666666666664,22.009999999999998,22.183333333333334,0.0,1.3
